tree_id	accession	is_exact_gps_coordinate	lat	lng	tg_pid	title	year	authors	species	num_sequences	num_genotypes	num_phenotypes	icon_name
TGDR021-112391	TGDR021	true	19.52316667	98.96286111	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR005-12967	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR001-1976	TGDR001	true	45.583	-122.383	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR001-2325	TGDR001	true	45.950	-121.950	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR005-12989	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR001-1980	TGDR001	true	46.333	-122.917	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR003-5024	TGDR003	true	35.16716667	140.0301944	21377	Extensive selfing in an endangered population of Pinus parviflora var. parviflora (Pinaceae) in the Boso Hills, Japan	2012	Iwasaki, Takaya,Sase, Tadashi ,Takeda, Shohei ,Ohsawa, Takeshi A,Ozaki, Kemrio ,TANI, NAOKI,Ikeda, Hiroyuki ,Suzuki, Masanori ,Endo, Ryota ,Tohei, Kazuo ,Watano, Yasuyuki Y	Pinus parviflora	0	4	0	small_green
TGDR001-2037	TGDR001	true	46.333	-122.667	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR021-112294	TGDR021	true	17.27858333	103.4561389	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR005-13107	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR021-112276	TGDR021	true	17.25669444	103.4588611	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR001-2377	TGDR001	true	46.150	-123.333	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR001-2337	TGDR001	true	46.150	-123.333	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR005-12833	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR021-112284	TGDR021	true	17.269	103.4579444	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR001-2330	TGDR001	true	45.950	-122.817	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR001-2115	TGDR001	true	44.167	-122.950	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR001-2404	TGDR001	true	47.100	-122.200	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR001-1995	TGDR001	true	45.317	-122.567	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR005-12939	TGDR005	true	-22.63111	-47.39111	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR005-13130	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR021-112413	TGDR021	true	19.47497222	99.00777778	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR005-12842	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR021-112538	TGDR021	true	17.20980556	100.4181667	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR021-112337	TGDR021	true	17.61325	100.5491111	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR001-2333	TGDR001	true	47.117	-122.117	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR001-2032	TGDR001	true	44.417	-123.333	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR021-112081	TGDR021	true	14.90313889	98.84911111	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR005-13116	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR003-5025	TGDR003	true	35.183333	140.016388	21377	Extensive selfing in an endangered population of Pinus parviflora var. parviflora (Pinaceae) in the Boso Hills, Japan	2012	Iwasaki, Takaya,Sase, Tadashi ,Takeda, Shohei ,Ohsawa, Takeshi A,Ozaki, Kemrio ,TANI, NAOKI,Ikeda, Hiroyuki ,Suzuki, Masanori ,Endo, Ryota ,Tohei, Kazuo ,Watano, Yasuyuki Y	Pinus parviflora	0	4	0	small_green
TGDR021-112141	TGDR021	true	17.81144444	97.99033333	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR021-112186	TGDR021	true	15.64272222	101.0310833	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR005-13036	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR005-12893	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR001-2135	TGDR001	true	45.383	-122.400	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR005-12811	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR001-2046	TGDR001	true	46.733	-121.900	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR003-5046	TGDR003	true	35.17255556	140.0953056	21377	Extensive selfing in an endangered population of Pinus parviflora var. parviflora (Pinaceae) in the Boso Hills, Japan	2012	Iwasaki, Takaya,Sase, Tadashi ,Takeda, Shohei ,Ohsawa, Takeshi A,Ozaki, Kemrio ,TANI, NAOKI,Ikeda, Hiroyuki ,Suzuki, Masanori ,Endo, Ryota ,Tohei, Kazuo ,Watano, Yasuyuki Y	Pinus parviflora	0	4	0	small_green
TGDR021-112401	TGDR021	true	19.50563889	98.96941667	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR021-112220	TGDR021	true	13.99486111	102.57575	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR001-2415	TGDR001	true	46.117	-123.000	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR005-12885	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR003-5080	TGDR003	true	35.19648148	140.1256111	21377	Extensive selfing in an endangered population of Pinus parviflora var. parviflora (Pinaceae) in the Boso Hills, Japan	2012	Iwasaki, Takaya,Sase, Tadashi ,Takeda, Shohei ,Ohsawa, Takeshi A,Ozaki, Kemrio ,TANI, NAOKI,Ikeda, Hiroyuki ,Suzuki, Masanori ,Endo, Ryota ,Tohei, Kazuo ,Watano, Yasuyuki Y	Pinus parviflora	0	4	0	small_green
TGDR005-13095	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR005-13098	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR001-2138	TGDR001	true	45.900	-123.150	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR001-2149	TGDR001	true	46.733	-121.900	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR005-13091	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR009-100767	TGDR009	true	14.493466666667	75.846833333333	24577	Genetic analysis of Pongamia pinnata (L.) Pierre populations using AFLP markers	2012	Gowda, Balakrishna,Pavithra, H.R ,Shivanna, M.B ,Chandrika, K. ,Prasanna, K.T 	Millettia pinnata	0	532	1	small_green
TGDR001-2362	TGDR001	true	46.150	-123.333	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR003-5085	TGDR003	true	35.18044444	140.1626389	21377	Extensive selfing in an endangered population of Pinus parviflora var. parviflora (Pinaceae) in the Boso Hills, Japan	2012	Iwasaki, Takaya,Sase, Tadashi ,Takeda, Shohei ,Ohsawa, Takeshi A,Ozaki, Kemrio ,TANI, NAOKI,Ikeda, Hiroyuki ,Suzuki, Masanori ,Endo, Ryota ,Tohei, Kazuo ,Watano, Yasuyuki Y	Pinus parviflora	0	4	0	small_green
TGDR021-112216	TGDR021	true	14.03238889	102.5675556	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR001-2292	TGDR001	true	48.917	-122.067	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR001-2276	TGDR001	true	48.517	-122.050	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR021-112184	TGDR021	true	15.64530556	101.0299444	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR001-2131	TGDR001	true	46.100	-122.967	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR021-112080	TGDR021	true	14.90144444	98.84894444	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR021-112505	TGDR021	true	17.59436111	98.87819444	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR021-112578	TGDR021	true	17.70644444	99.34883333	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR005-12872	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR021-112205	TGDR021	true	14.03177778	102.5782222	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR021-112166	TGDR021	true	18.02083333	97.85227778	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR001-2294	TGDR001	true	47.200	-121.933	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR005-13129	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR021-112574	TGDR021	true	17.70213889	99.34730556	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR001-2328	TGDR001	true	46.083	-122.883	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR001-1987	TGDR001	true	45.583	-122.383	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR003-5093	TGDR003	true	35.17494444	139.9968889	21377	Extensive selfing in an endangered population of Pinus parviflora var. parviflora (Pinaceae) in the Boso Hills, Japan	2012	Iwasaki, Takaya,Sase, Tadashi ,Takeda, Shohei ,Ohsawa, Takeshi A,Ozaki, Kemrio ,TANI, NAOKI,Ikeda, Hiroyuki ,Suzuki, Masanori ,Endo, Ryota ,Tohei, Kazuo ,Watano, Yasuyuki Y	Pinus parviflora	0	4	0	small_green
TGDR005-13038	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR001-2066	TGDR001	true	45.983	-122.533	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR003-5108	TGDR003	true	36.02977778	138.8400278	21377	Extensive selfing in an endangered population of Pinus parviflora var. parviflora (Pinaceae) in the Boso Hills, Japan	2012	Iwasaki, Takaya,Sase, Tadashi ,Takeda, Shohei ,Ohsawa, Takeshi A,Ozaki, Kemrio ,TANI, NAOKI,Ikeda, Hiroyuki ,Suzuki, Masanori ,Endo, Ryota ,Tohei, Kazuo ,Watano, Yasuyuki Y	Pinus parviflora	0	4	0	small_green
TGDR005-13092	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR009-100778	TGDR009	true	13.802944444444	76.858027777778	24577	Genetic analysis of Pongamia pinnata (L.) Pierre populations using AFLP markers	2012	Gowda, Balakrishna,Pavithra, H.R ,Shivanna, M.B ,Chandrika, K. ,Prasanna, K.T 	Millettia pinnata	0	532	1	small_green
TGDR021-112222	TGDR021	true	13.99516667	102.5741667	25842	Population genetic analysis of Xylia xylocarpa (Fabaceae - Mimosoideae) in Thailand	2014	Wattanakulpakin, Tanat,Volkaert H A	Xylia xylocarpa	0	16	1	small_green
TGDR001-2174	TGDR001	true	44.117	-122.567	20176	Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.	2010	Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.	Populus trichocarpa	0	874	3	small_green
TGDR005-12932	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
TGDR005-13102	TGDR005	true	-22.30694	-47.37750	23829	Jatropha curcas L. (Euphorbiaceae) exhibits a mixed mating system, high correlated mating and apomixis	2013	Bressan, Eduardo Andrade	Jatropha curcas	0	10	0	small_green
